Tract ID,County,Median_Household_Income,Year
1530.02,Sonoma,47039.0,2010
1530.03,Sonoma,46250.0,2010
1530.05,Sonoma,77027.0,2010
1530.06,Sonoma,62292.0,2010
1531.02,Sonoma,49738.0,2010
1531.03,Sonoma,55833.0,2010
1531.04,Sonoma,48163.0,2010
1532,Sonoma,61036.0,2010
1533,Sonoma,64509.0,2010
1534.01,Sonoma,51515.0,2010
1534.03,Sonoma,67297.0,2010
1534.04,Sonoma,75399.0,2010
1535.01,Sonoma,81958.0,2010
1535.02,Sonoma,81250.0,2010
1536,Sonoma,79781.0,2010
1537.03,Sonoma,39950.0,2010
1537.04,Sonoma,42212.0,2010
1537.05,Sonoma,61734.0,2010
1537.06,Sonoma,72786.0,2010
1538.01,Sonoma,75134.0,2010
1538.04,Sonoma,83324.0,2010
1538.06,Sonoma,66304.0,2010
1538.07,Sonoma,101875.0,2010
1538.08,Sonoma,55100.0,2010
1538.09,Sonoma,68878.0,2010
1539.01,Sonoma,67446.0,2010
1539.02,Sonoma,42449.0,2010
1539.03,Sonoma,67950.0,2010
154,San Francisco,82313.0,2010
1540,Sonoma,83542.0,2010
1541,Sonoma,77826.0,2010
1542.01,Sonoma,39761.0,2010
1542.02,Sonoma,64250.0,2010
1543.02,Sonoma,70281.0,2010
1543.03,Sonoma,62222.0,2010
1543.04,Sonoma,65515.0,2010
155,San Francisco,48058.0,2010
156,San Francisco,75236.0,2010
157,San Francisco,90035.0,2010
158.01,San Francisco,46083.0,2010
158.02,San Francisco,65417.0,2010
159,San Francisco,39453.0,2010
160,San Francisco,61675.0,2010
161,San Francisco,20438.0,2010
162,San Francisco,51984.0,2010
163,San Francisco,71250.0,2010
164,San Francisco,72608.0,2010
165,San Francisco,84125.0,2010
166,San Francisco,76597.0,2010
167,San Francisco,85177.0,2010
168.01,San Francisco,72724.0,2010
168.02,San Francisco,52019.0,2010
169,San Francisco,91020.0,2010
170,San Francisco,100891.0,2010
171.01,San Francisco,107308.0,2010
171.02,San Francisco,105684.0,2010
176.01,San Francisco,23099.0,2010
177,San Francisco,78814.0,2010
178.01,San Francisco,18388.0,2010
178.02,San Francisco,89091.0,2010
179.02,San Francisco,46382.0,2010
180,San Francisco,111375.0,2010
2002.01,Napa,41287.0,2010
2002.02,Napa,43489.0,2010
2002.03,Napa,62075.0,2010
2003.01,Napa,52437.0,2010
2003.02,Napa,85816.0,2010
2004,Napa,79310.0,2010
2005.01,Napa,52659.0,2010
2005.03,Napa,43782.0,2010
2005.04,Napa,51657.0,2010
2005.05,Napa,47731.0,2010
2006.01,Napa,72212.0,2010
2006.02,Napa,60485.0,2010
2007.03,Napa,106293.0,2010
2007.04,Napa,69063.0,2010
2007.05,Napa,65294.0,2010
2007.06,Napa,89915.0,2010
2007.07,Napa,79958.0,2010
2008.02,Napa,69189.0,2010
2008.03,Napa,74500.0,2010
2008.04,Napa,55325.0,2010
2009,Napa,0.0,2010
201,San Francisco,38579.0,2010
2010.03,Napa,94097.0,2010
2010.04,Napa,77318.0,2010
2010.05,Napa,75870.0,2010
2010.06,Napa,81771.0,2010
2010.07,Napa,75956.0,2010
2011.01,Napa,96319.0,2010
2011.02,Napa,85284.0,2010
2012,Napa,56715.0,2010
2013,Napa,68409.0,2010
2014.01,Napa,116433.0,2010
2014.02,Napa,131375.0,2010
2014.03,Napa,89861.0,2010
2015,Napa,85481.0,2010
2016.01,Napa,63362.0,2010
2016.02,Napa,71509.0,2010
2017,Napa,77300.0,2010
2018,Napa,77424.0,2010
2019,Napa,77031.0,2010
202,San Francisco,54520.0,2010
2020,Napa,50128.0,2010
203,San Francisco,100575.0,2010
204.01,San Francisco,105263.0,2010
204.02,San Francisco,82066.0,2010
205,San Francisco,92473.0,2010
206,San Francisco,103229.0,2010
207,San Francisco,88850.0,2010
208,San Francisco,56346.0,2010
209,San Francisco,47407.0,2010
210,San Francisco,94461.0,2010
211,San Francisco,114142.0,2010
212,San Francisco,124444.0,2010
213,San Francisco,105599.0,2010
214,San Francisco,101222.0,2010
215,San Francisco,111712.0,2010
216,San Francisco,90625.0,2010
217,San Francisco,88679.0,2010
218,San Francisco,101315.0,2010
226,San Francisco,125952.0,2010
227.02,San Francisco,124038.0,2010
227.04,San Francisco,135505.0,2010
228.01,San Francisco,77212.0,2010
228.02,San Francisco,88654.0,2010
228.03,San Francisco,68911.0,2010
229.01,San Francisco,50493.0,2010
229.02,San Francisco,70714.0,2010
229.03,San Francisco,67368.0,2010
230.01,San Francisco,48513.0,2010
230.03,San Francisco,76406.0,2010
231.02,San Francisco,26987.0,2010
231.03,San Francisco,20018.0,2010
232,San Francisco,50156.0,2010
233,San Francisco,66250.0,2010
234,San Francisco,36544.0,2010
2501.03,Solano,66618.0,2010
2501.04,Solano,92761.0,2010
2501.05,Solano,100783.0,2010
2501.06,Solano,110183.0,2010
2502,Solano,41845.0,2010
2503,Solano,53542.0,2010
2504,Solano,60146.0,2010
2505.01,Solano,54400.0,2010
2505.02,Solano,68529.0,2010
2506.01,Solano,61706.0,2010
2506.04,Solano,87990.0,2010
2506.05,Solano,103806.0,2010
2507.01,Solano,47328.0,2010
2508.01,Solano,43333.0,2010
2509,Solano,19472.0,2010
251,San Francisco,77893.0,2010
2510,Solano,39250.0,2010
2511,Solano,44261.0,2010
2512,Solano,42614.0,2010
2513,Solano,63750.0,2010
2514,Solano,65564.0,2010
2515,Solano,40205.0,2010
2516,Solano,50238.0,2010
2517.01,Solano,50803.0,2010
2517.02,Solano,72750.0,2010
2518.02,Solano,32669.0,2010
2518.03,Solano,60185.0,2010
2518.04,Solano,71556.0,2010
2519.01,Solano,55460.0,2010
2519.02,Solano,64627.0,2010
2519.03,Solano,66250.0,2010
252,San Francisco,98815.0,2010
2520,Solano,72321.0,2010
2521.02,Solano,69087.0,2010
2521.03,Solano,68366.0,2010
2521.04,Solano,148063.0,2010
2521.05,Solano,100469.0,2010
2521.06,Solano,81594.0,2010
2521.07,Solano,90101.0,2010
2521.08,Solano,86250.0,2010
2522.01,Solano,105284.0,2010
2522.02,Solano,103890.0,2010
2523.05,Solano,85313.0,2010
2523.06,Solano,77813.0,2010
2523.10,Solano,121004.0,2010
2523.11,Solano,110469.0,2010
2523.12,Solano,66976.0,2010
2523.13,Solano,60643.0,2010
2523.14,Solano,68500.0,2010
2523.15,Solano,94269.0,2010
2523.16,Solano,80010.0,2010
2523.17,Solano,99792.0,2010
2524.01,Solano,48771.0,2010
2524.02,Solano,47332.0,2010
2525.01,Solano,42886.0,2010
2525.02,Solano,37644.0,2010
2526.04,Solano,54402.0,2010
2526.05,Solano,44536.0,2010
2526.06,Solano,41494.0,2010
2526.07,Solano,39070.0,2010
2526.08,Solano,41630.0,2010
2526.10,Solano,65139.0,2010
2526.11,Solano,55036.0,2010
2527.02,Solano,73295.0,2010
2527.03,Solano,74551.0,2010
2527.04,Solano,58472.0,2010
2527.05,Solano,70848.0,2010
2527.06,Solano,90485.0,2010
2527.07,Solano,58056.0,2010
2528.01,Solano,51861.0,2010
2528.02,Solano,73594.0,2010
2529.03,Solano,110556.0,2010
2529.04,Solano,77156.0,2010
2529.08,Solano,71479.0,2010
2529.09,Solano,79231.0,2010
2529.10,Solano,89738.0,2010
2529.11,Solano,41359.0,2010
2529.12,Solano,104333.0,2010
2529.13,Solano,93986.0,2010
2529.14,Solano,79438.0,2010
2529.15,Solano,122929.0,2010
253,San Francisco,88711.0,2010
2530,Solano,0.0,2010
2531.01,Solano,57396.0,2010
2531.05,Solano,55938.0,2010
2531.06,Solano,61480.0,2010
2531.07,Solano,52015.0,2010
2531.08,Solano,53090.0,2010
2532.01,Solano,84712.0,2010
2532.03,Solano,54819.0,2010
2532.04,Solano,71477.0,2010
2532.05,Solano,83385.0,2010
2532.06,Solano,111625.0,2010
2533,Solano,68295.0,2010
2534.02,Solano,54139.0,2010
2534.03,Solano,82917.0,2010
2534.04,Solano,64402.0,2010
2535,Solano,54341.0,2010
254.01,San Francisco,79295.0,2010
254.02,San Francisco,99732.0,2010
254.03,San Francisco,66500.0,2010
255,San Francisco,76732.0,2010
256,San Francisco,63800.0,2010
257.01,San Francisco,79083.0,2010
257.02,San Francisco,60500.0,2010
258,San Francisco,46250.0,2010
259,San Francisco,84618.0,2010
260.01,San Francisco,72567.0,2010
260.02,San Francisco,56875.0,2010
260.03,San Francisco,76108.0,2010
260.04,San Francisco,75057.0,2010
261,San Francisco,71404.0,2010
262,San Francisco,87156.0,2010
263.01,San Francisco,63175.0,2010
263.02,San Francisco,57813.0,2010
263.03,San Francisco,91698.0,2010
264.01,San Francisco,49000.0,2010
264.02,San Francisco,59625.0,2010
264.03,San Francisco,48125.0,2010
264.04,San Francisco,44128.0,2010
301.01,San Francisco,92000.0,2010
301.02,San Francisco,91827.0,2010
3010,Contra Costa,39324.0,2010
302.01,San Francisco,69267.0,2010
302.02,San Francisco,83077.0,2010
3020.05,Contra Costa,63711.0,2010
3020.06,Contra Costa,81289.0,2010
3020.07,Contra Costa,62083.0,2010
3020.08,Contra Costa,77331.0,2010
3020.09,Contra Costa,83036.0,2010
3020.10,Contra Costa,90214.0,2010
303.01,San Francisco,92207.0,2010
303.02,San Francisco,110673.0,2010
3031.02,Contra Costa,80338.0,2010
3031.03,Contra Costa,66395.0,2010
3032.01,Contra Costa,102806.0,2010
3032.02,Contra Costa,116731.0,2010
3032.03,Contra Costa,101369.0,2010
3032.04,Contra Costa,71157.0,2010
3032.05,Contra Costa,78194.0,2010
304,San Francisco,126818.0,2010
3040.01,Contra Costa,108185.0,2010
3040.02,Contra Costa,69516.0,2010
3040.03,Contra Costa,90833.0,2010
3040.04,Contra Costa,116086.0,2010
3040.05,Contra Costa,105250.0,2010
305,San Francisco,106007.0,2010
3050,Contra Costa,39571.0,2010
306,San Francisco,138056.0,2010
3060.02,Contra Costa,59841.0,2010
3060.03,Contra Costa,47951.0,2010
3060.04,Contra Costa,43069.0,2010
307,San Francisco,128203.0,2010
3071.01,Contra Costa,64136.0,2010
3071.02,Contra Costa,51848.0,2010
3072.01,Contra Costa,37333.0,2010
3072.02,Contra Costa,33234.0,2010
3072.04,Contra Costa,57644.0,2010
3072.05,Contra Costa,52929.0,2010
308,San Francisco,122139.0,2010
3080.01,Contra Costa,64814.0,2010
3080.02,Contra Costa,94441.0,2010
309,San Francisco,144900.0,2010
3090,Contra Costa,66917.0,2010
310,San Francisco,91907.0,2010
3100,Contra Costa,45313.0,2010
311,San Francisco,101641.0,2010
3110,Contra Costa,42478.0,2010
312.01,San Francisco,65732.0,2010
312.02,San Francisco,67271.0,2010
3120,Contra Costa,27078.0,2010
313.01,San Francisco,72682.0,2010
313.02,San Francisco,82901.0,2010
3131.01,Contra Costa,48125.0,2010
3131.02,Contra Costa,67768.0,2010
3131.03,Contra Costa,66901.0,2010
3132.03,Contra Costa,85147.0,2010
3132.04,Contra Costa,68163.0,2010
3132.05,Contra Costa,97647.0,2010
3132.06,Contra Costa,47191.0,2010
314,San Francisco,55079.0,2010
3141.02,Contra Costa,53006.0,2010
3141.03,Contra Costa,46737.0,2010
3141.04,Contra Costa,41513.0,2010
3142,Contra Costa,41519.0,2010
3150,Contra Costa,87146.0,2010
3160,Contra Costa,12338.0,2010
3170,Contra Costa,47813.0,2010
3180,Contra Costa,56250.0,2010
3190,Contra Costa,60656.0,2010
3200.01,Contra Costa,53191.0,2010
3200.03,Contra Costa,103222.0,2010
3200.04,Contra Costa,76818.0,2010
3211.01,Contra Costa,92380.0,2010
3211.02,Contra Costa,99762.0,2010
3211.03,Contra Costa,86983.0,2010
3212,Contra Costa,55731.0,2010
3220,Contra Costa,101719.0,2010
3230,Contra Costa,90066.0,2010
3240.01,Contra Costa,55929.0,2010
3240.02,Contra Costa,64233.0,2010
3250,Contra Costa,74663.0,2010
326.01,San Francisco,61224.0,2010
326.02,San Francisco,58494.0,2010
3260,Contra Costa,116445.0,2010
327,San Francisco,85446.0,2010
3270,Contra Costa,46726.0,2010
328.01,San Francisco,92778.0,2010
328.02,San Francisco,59792.0,2010
3280,Contra Costa,31389.0,2010
329.01,San Francisco,92706.0,2010
329.02,San Francisco,77037.0,2010
3290,Contra Costa,59575.0,2010
330,San Francisco,110486.0,2010
3300,Contra Costa,77899.0,2010
331,San Francisco,103589.0,2010
3310,Contra Costa,61189.0,2010
332.01,San Francisco,41250.0,2010
332.03,San Francisco,59875.0,2010
332.04,San Francisco,46190.0,2010
3320,Contra Costa,74479.0,2010
3331.01,Contra Costa,79018.0,2010
3331.02,Contra Costa,72909.0,2010
3332,Contra Costa,79150.0,2010
3340.01,Contra Costa,66551.0,2010
3340.04,Contra Costa,59907.0,2010
3340.06,Contra Costa,110253.0,2010
3342,Contra Costa,116989.0,2010
3350,Contra Costa,74913.0,2010
3361.01,Contra Costa,43521.0,2010
3361.02,Contra Costa,41053.0,2010
3362.01,Contra Costa,65238.0,2010
3362.02,Contra Costa,35000.0,2010
3371,Contra Costa,108523.0,2010
3372,Contra Costa,52755.0,2010
3373,Contra Costa,108843.0,2010
3381.01,Contra Costa,41250.0,2010
3381.02,Contra Costa,101189.0,2010
3382.01,Contra Costa,106125.0,2010
3382.03,Contra Costa,78438.0,2010
3382.04,Contra Costa,89858.0,2010
3383.01,Contra Costa,124545.0,2010
3383.02,Contra Costa,120000.0,2010
3390.01,Contra Costa,51074.0,2010
3390.02,Contra Costa,78351.0,2010
3400.01,Contra Costa,82539.0,2010
3400.02,Contra Costa,102672.0,2010
3410,Contra Costa,87669.0,2010
3430.01,Contra Costa,79676.0,2010
3430.02,Contra Costa,92647.0,2010
3430.03,Contra Costa,116829.0,2010
3451.01,Contra Costa,90109.0,2010
3451.02,Contra Costa,133165.0,2010
3451.03,Contra Costa,107788.0,2010
3451.05,Contra Costa,112102.0,2010
3451.08,Contra Costa,116250.0,2010
3451.11,Contra Costa,103889.0,2010
3451.12,Contra Costa,100379.0,2010
3451.13,Contra Costa,161029.0,2010
3451.14,Contra Costa,122113.0,2010
3451.15,Contra Costa,159110.0,2010
3451.16,Contra Costa,119181.0,2010
3452.02,Contra Costa,104833.0,2010
3452.03,Contra Costa,110270.0,2010
3452.04,Contra Costa,134808.0,2010
3461.01,Contra Costa,141754.0,2010
3461.02,Contra Costa,162426.0,2010
3462.01,Contra Costa,136359.0,2010
3462.03,Contra Costa,109625.0,2010
3462.04,Contra Costa,161771.0,2010
3470,Contra Costa,151773.0,2010
3480,Contra Costa,153488.0,2010
3490,Contra Costa,108924.0,2010
3500,Contra Costa,107299.0,2010
351,San Francisco,90114.0,2010
3511.01,Contra Costa,56696.0,2010
3511.02,Contra Costa,37453.0,2010
3511.03,Contra Costa,75917.0,2010
3512,Contra Costa,140511.0,2010
352.01,San Francisco,62350.0,2010
352.02,San Francisco,66958.0,2010
3521.01,Contra Costa,151806.0,2010
3521.02,Contra Costa,138214.0,2010
3522.01,Contra Costa,96080.0,2010
3522.02,Contra Costa,110197.0,2010
353,San Francisco,77936.0,2010
3530.01,Contra Costa,170774.0,2010
3530.02,Contra Costa,150893.0,2010
354,San Francisco,75100.0,2010
3540.01,Contra Costa,152566.0,2010
3540.02,Contra Costa,182898.0,2010
3551.07,Contra Costa,92911.0,2010
3551.08,Contra Costa,102652.0,2010
3551.09,Contra Costa,90925.0,2010
3551.10,Contra Costa,87796.0,2010
3551.11,Contra Costa,89426.0,2010
3551.12,Contra Costa,185769.0,2010
3551.13,Contra Costa,153750.0,2010
3551.14,Contra Costa,151368.0,2010
3551.15,Contra Costa,95086.0,2010
3551.16,Contra Costa,182250.0,2010
3551.17,Contra Costa,181067.0,2010
3552,Contra Costa,78295.0,2010
3553.01,Contra Costa,117750.0,2010
