Tract ID,County,25_Plus_Bachelors_Degree_Or_Higher_Count,Year
1530.05,Sonoma,32.0,2010
1530.06,Sonoma,17.7,2010
1531.02,Sonoma,11.1,2010
1531.03,Sonoma,7.699999999999999,2010
1531.04,Sonoma,17.8,2010
1532,Sonoma,16.1,2010
1533,Sonoma,16.2,2010
1534.01,Sonoma,44.1,2010
1534.03,Sonoma,35.599999999999994,2010
1534.04,Sonoma,42.2,2010
1535.01,Sonoma,35.4,2010
1535.02,Sonoma,48.8,2010
1536,Sonoma,42.2,2010
1537.03,Sonoma,28.5,2010
1537.04,Sonoma,34.6,2010
1537.05,Sonoma,41.2,2010
1537.06,Sonoma,37.6,2010
1538.01,Sonoma,28.9,2010
1538.04,Sonoma,20.0,2010
1538.06,Sonoma,25.4,2010
1538.07,Sonoma,34.5,2010
1538.08,Sonoma,16.9,2010
1538.09,Sonoma,21.700000000000003,2010
1539.01,Sonoma,38.400000000000006,2010
1539.02,Sonoma,22.3,2010
1539.03,Sonoma,36.400000000000006,2010
154,San Francisco,73.6,2010
1540,Sonoma,45.400000000000006,2010
1541,Sonoma,25.9,2010
1542.01,Sonoma,12.1,2010
1542.02,Sonoma,30.4,2010
1543.02,Sonoma,54.3,2010
1543.03,Sonoma,64.4,2010
1543.04,Sonoma,43.5,2010
155,San Francisco,48.4,2010
156,San Francisco,62.3,2010
157,San Francisco,64.3,2010
158.01,San Francisco,58.1,2010
158.02,San Francisco,60.099999999999994,2010
159,San Francisco,54.400000000000006,2010
160,San Francisco,55.8,2010
161,San Francisco,37.4,2010
162,San Francisco,63.7,2010
163,San Francisco,60.0,2010
164,San Francisco,62.400000000000006,2010
165,San Francisco,69.9,2010
166,San Francisco,69.3,2010
167,San Francisco,62.599999999999994,2010
168.01,San Francisco,60.099999999999994,2010
168.02,San Francisco,54.3,2010
169,San Francisco,65.4,2010
170,San Francisco,80.80000000000001,2010
171.01,San Francisco,79.19999999999999,2010
171.02,San Francisco,79.3,2010
176.01,San Francisco,29.200000000000003,2010
177,San Francisco,45.3,2010
178.01,San Francisco,44.2,2010
178.02,San Francisco,44.5,2010
179.02,San Francisco,34.2,2010
180,San Francisco,42.8,2010
2002.01,Napa,24.0,2010
2002.02,Napa,27.2,2010
2002.03,Napa,20.4,2010
2003.01,Napa,19.1,2010
2003.02,Napa,16.5,2010
2004,Napa,43.1,2010
2005.01,Napa,13.7,2010
2005.03,Napa,25.3,2010
2005.04,Napa,16.3,2010
2005.05,Napa,28.5,2010
2006.01,Napa,20.8,2010
2006.02,Napa,27.1,2010
2007.03,Napa,42.1,2010
2007.04,Napa,17.7,2010
2007.05,Napa,31.700000000000003,2010
2007.06,Napa,31.8,2010
2007.07,Napa,28.1,2010
2008.02,Napa,37.5,2010
2008.03,Napa,48.400000000000006,2010
2008.04,Napa,10.7,2010
2009,Napa,2.2,2010
201,San Francisco,34.7,2010
2010.03,Napa,34.5,2010
2010.04,Napa,28.9,2010
2010.05,Napa,25.5,2010
2010.06,Napa,26.9,2010
2010.07,Napa,25.5,2010
2011.01,Napa,46.1,2010
2011.02,Napa,35.4,2010
2012,Napa,28.7,2010
2013,Napa,46.5,2010
2014.01,Napa,52.6,2010
2014.02,Napa,54.5,2010
2014.03,Napa,26.9,2010
2015,Napa,39.900000000000006,2010
2016.01,Napa,41.2,2010
2016.02,Napa,50.5,2010
2017,Napa,44.0,2010
2018,Napa,19.1,2010
2019,Napa,51.699999999999996,2010
202,San Francisco,54.400000000000006,2010
2020,Napa,29.3,2010
203,San Francisco,69.1,2010
204.01,San Francisco,76.6,2010
204.02,San Francisco,63.9,2010
205,San Francisco,69.0,2010
206,San Francisco,79.0,2010
207,San Francisco,66.2,2010
208,San Francisco,38.5,2010
209,San Francisco,49.6,2010
210,San Francisco,75.1,2010
211,San Francisco,81.30000000000001,2010
212,San Francisco,81.4,2010
213,San Francisco,73.30000000000001,2010
214,San Francisco,78.0,2010
215,San Francisco,68.2,2010
216,San Francisco,65.69999999999999,2010
217,San Francisco,67.19999999999999,2010
218,San Francisco,66.80000000000001,2010
226,San Francisco,83.0,2010
227.02,San Francisco,83.4,2010
227.04,San Francisco,76.4,2010
228.01,San Francisco,48.9,2010
228.02,San Francisco,39.2,2010
228.03,San Francisco,36.7,2010
229.01,San Francisco,45.3,2010
229.02,San Francisco,21.3,2010
229.03,San Francisco,43.1,2010
230.01,San Francisco,12.5,2010
230.03,San Francisco,21.6,2010
231.02,San Francisco,17.2,2010
231.03,San Francisco,14.600000000000001,2010
232,San Francisco,14.3,2010
233,San Francisco,13.9,2010
234,San Francisco,9.7,2010
2501.03,Solano,29.0,2010
2501.04,Solano,31.700000000000003,2010
2501.05,Solano,36.699999999999996,2010
2501.06,Solano,43.3,2010
2502,Solano,22.8,2010
2503,Solano,15.2,2010
2504,Solano,18.6,2010
2505.01,Solano,20.2,2010
2505.02,Solano,29.6,2010
2506.01,Solano,16.3,2010
2506.04,Solano,42.2,2010
2506.05,Solano,44.8,2010
2507.01,Solano,13.7,2010
