Tract ID,County,Estimate!!Total,Year
4324,Alameda,6332,2023
4325.01,Alameda,4852,2023
4325.02,Alameda,5111,2023
4326.01,Alameda,4267,2023
4326.02,Alameda,3109,2023
4327,Alameda,2654,2023
4328,Alameda,4037,2023
4330,Alameda,3674,2023
4331.02,Alameda,4064,2023
4331.03,Alameda,3460,2023
4331.04,Alameda,4584,2023
4332,Alameda,8135,2023
4333,Alameda,7265,2023
4334,Alameda,5824,2023
4335,Alameda,4084,2023
4336,Alameda,5871,2023
4337,Alameda,3206,2023
4338.01,Alameda,3290,2023
4338.02,Alameda,4084,2023
4339,Alameda,6850,2023
4340,Alameda,5378,2023
4351.02,Alameda,5595,2023
4351.03,Alameda,7325,2023
4351.04,Alameda,6615,2023
4352,Alameda,4530,2023
4353,Alameda,4909,2023
4354,Alameda,5077,2023
4355,Alameda,4023,2023
4356.01,Alameda,4813,2023
4356.02,Alameda,5506,2023
4357,Alameda,4913,2023
4358,Alameda,5802,2023
4359,Alameda,5138,2023
4360,Alameda,4932,2023
4361,Alameda,5991,2023
4362,Alameda,4060,2023
4363.01,Alameda,5275,2023
4363.02,Alameda,3766,2023
4364.02,Alameda,2754,2023
4364.03,Alameda,4403,2023
4364.04,Alameda,3216,2023
4365,Alameda,5010,2023
4366.01,Alameda,6554,2023
4366.02,Alameda,5250,2023
4367,Alameda,3533,2023
4368,Alameda,4244,2023
4369,Alameda,6766,2023
4370,Alameda,3617,2023
4371.01,Alameda,7458,2023
4371.02,Alameda,4018,2023
4372,Alameda,8975,2023
4373,Alameda,3031,2023
4374,Alameda,3609,2023
4375,Alameda,4663,2023
4376,Alameda,3385,2023
4377.01,Alameda,3729,2023
4377.02,Alameda,4027,2023
4378,Alameda,5107,2023
4379,Alameda,2283,2023
4380,Alameda,3676,2023
4381,Alameda,7541,2023
4382.01,Alameda,4671,2023
4382.03,Alameda,4073,2023
4382.04,Alameda,5745,2023
4383,Alameda,3849,2023
4384,Alameda,2741,2023
4401,Alameda,2423,2023
4402,Alameda,5368,2023
4403.01,Alameda,6812,2023
4403.04,Alameda,4391,2023
4403.05,Alameda,4021,2023
4403.06,Alameda,3706,2023
4403.07,Alameda,4449,2023
4403.08,Alameda,6303,2023
4403.31,Alameda,3373,2023
4403.32,Alameda,3102,2023
4403.33,Alameda,2516,2023
4403.34,Alameda,3902,2023
4403.36,Alameda,4554,2023
4403.37,Alameda,2720,2023
4403.38,Alameda,3858,2023
4411,Alameda,4584,2023
4412,Alameda,7151,2023
4413.01,Alameda,3338,2023
4413.02,Alameda,5882,2023
4414.01,Alameda,7667,2023
4414.02,Alameda,5231,2023
4415.01,Alameda,5496,2023
4415.03,Alameda,7528,2023
4415.21,Alameda,6045,2023
4415.22,Alameda,5131,2023
4415.23,Alameda,4032,2023
4415.24,Alameda,3989,2023
4415.25,Alameda,2362,2023
4416.01,Alameda,4418,2023
4416.02,Alameda,7280,2023
4417.01,Alameda,3645,2023
4417.02,Alameda,5108,2023
4418,Alameda,6611,2023
4419.21,Alameda,3779,2023
4419.23,Alameda,5762,2023
4419.24,Alameda,7540,2023
4419.26,Alameda,4307,2023
4419.27,Alameda,4316,2023
4419.28,Alameda,4015,2023
4419.29,Alameda,3175,2023
4420,Alameda,3122,2023
4421,Alameda,5279,2023
4422,Alameda,7451,2023
4423.01,Alameda,4931,2023
4423.02,Alameda,6164,2023
4424,Alameda,6362,2023
4425.01,Alameda,3287,2023
4425.02,Alameda,3731,2023
4426.01,Alameda,3936,2023
4426.02,Alameda,4779,2023
4427,Alameda,2998,2023
4428,Alameda,3087,2023
4429,Alameda,7942,2023
4430.01,Alameda,2721,2023
4430.02,Alameda,6915,2023
4431.02,Alameda,4657,2023
